fixture,fixture_size_bytes,tool,run_index,wall_time_seconds,max_rss_kb,exit_code,status,timestamp_utc
small,274640397,mnemo-overview,1,9.492,10608,0,ok,2026-04-26T11:58:12Z
small,274640397,mnemo-overview,2,8.575,10480,0,ok,2026-04-26T11:58:22Z
small,274640397,mnemo-overview,3,8.727,10268,0,ok,2026-04-26T11:58:31Z
small,274640397,hprof-slurp,1,2.141,282324,0,ok,2026-04-26T11:58:40Z
small,274640397,hprof-slurp,2,2.107,282196,0,ok,2026-04-26T11:58:43Z
small,274640397,hprof-slurp,3,2.111,282072,0,ok,2026-04-26T11:58:46Z
medium,1586353485,mnemo-overview,1,79.063,10376,0,ok,2026-04-26T11:58:48Z
medium,1586353485,mnemo-overview,2,52.71,10612,0,ok,2026-04-26T12:00:08Z
medium,1586353485,mnemo-overview,3,53.772,10356,0,ok,2026-04-26T12:01:01Z
medium,1586353485,hprof-slurp,1,12.665,290260,0,ok,2026-04-26T12:01:56Z
medium,1586353485,hprof-slurp,2,12.328,290516,0,ok,2026-04-26T12:02:09Z
medium,1586353485,hprof-slurp,3,11.096,290516,0,ok,2026-04-26T12:02:22Z
large,6471188323,mnemo-overview,1,238.545,10284,0,ok,2026-04-26T12:02:33Z
large,6471188323,mnemo-overview,2,196.369,10600,0,ok,2026-04-26T12:06:32Z
large,6471188323,mnemo-overview,3,183.701,10504,0,ok,2026-04-26T12:09:49Z
large,6471188323,hprof-slurp,1,44.843,291540,0,ok,2026-04-26T12:12:53Z
large,6471188323,hprof-slurp,2,46.009,291540,0,ok,2026-04-26T12:13:39Z
large,6471188323,hprof-slurp,3,45.195,291668,0,ok,2026-04-26T12:14:25Z
